Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/17  18:00:00,54.6604522877,4.40244694023,12.1047948244,0.0,9.17985065927,26.9147,63.4362983916,0.0,50.0982,13.3380983916
 05/17  19:00:00,44.6519405826,4.40244694023,9.42929720281,0.0,9.17985065927,19.4245,47.9116785807,0.0,33.3988,14.5128785807
 05/17  20:00:00,44.8289544586,4.40244694023,7.52077056281,0.0,9.17985065927,19.4245,45.5655416183,0.0,33.3988,12.1667416183
 05/17  21:00:00,42.7512636795,4.40244694023,3.43613215965,0.0,9.17985065927,19.4245,38.3877287263,0.0,25.0491,13.3386287263
 05/17  22:00:00,39.8989552471,4.40244694023,0.726463658254,0.0,9.17985065927,19.4245,27.6959682234,0.0,16.6994,10.9965682234
 05/17  23:00:00,39.9128108094,4.40244694023,0.0,0.0,9.17985065927,19.4245,14.7750092505,0.078547723564,8.3497,6.34676152694
 05/17  24:00:00,23.1842875356,4.40244694023,0.00812102750058,0.0,4.58992532963,8.1892,8.76265413115,0.806511993779,3.33988,4.61626213737
 05/18  01:00:00,14.9349073708,0.0,0.0,0.0,1.52997510988,7.4902,3.93197516134,0.0,3.33988,0.592095161339
 05/18  02:00:00,14.9517327673,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 05/18  03:00:00,14.9560096568,0.0,0.0,0.0,1.52997510988,7.4902,3.93195894266,0.0,3.33988,0.592078942659
 05/18  04:00:00,15.1103121232,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 05/18  05:00:00,23.2522003572,4.40244694023,0.0,0.0,4.58992532963,8.1892,26.2295246534,17.28773982,8.3497,0.592084833367
 05/18  06:00:00,37.0937604616,4.40244694023,0.0296147155384,0.0,9.17985065927,19.4245,35.7155965767,15.553085812,16.6994,3.4631107647
 05/18  07:00:00,42.4484316993,4.40244694023,0.0276436475399,0.0,9.17985065927,26.9147,44.0295639246,4.46802668241,25.0491,14.5124372422
 05/18  08:00:00,42.4794136264,4.40244694023,0.00842210290022,0.0,9.17985065927,26.9147,46.7358385264,0.0,33.3988,13.3370385264
 05/18  09:00:00,35.0185943371,4.40244694023,0.00291988234221,0.0,9.17985065927,19.4245,36.0527579725,0.00628633687351,25.0491,10.9973716356
 05/18  10:00:00,43.2948812023,4.40244694023,0.764647137277,0.0,9.17985065927,26.9147,51.57954507,0.0,41.7485,9.83104506996
 05/18  11:00:00,46.9251443896,4.40244694023,3.65072375391,0.0,9.17985065927,26.9147,52.7451727361,0.0,41.7485,10.9966727361
 05/18  12:00:00,49.0930362695,4.40244694023,6.46650962274,0.0,9.17985065927,26.9147,51.5780482639,0.0,41.7485,9.82954826394
 05/18  13:00:00,40.3050730536,4.40244694023,5.23306358032,0.0,9.17985065927,19.4245,41.4888154863,0.0,33.3988,8.09001548629
 05/18  14:00:00,39.2691629811,4.40244694023,4.18648640946,0.0,9.17985065927,19.4245,32.5540754484,0.0,25.0491,7.50497544839
 05/18  15:00:00,39.7981961888,4.40244694023,4.69646010042,0.0,9.17985065927,19.4245,40.9046439225,0.0,33.3988,7.50584392249
 05/18  16:00:00,49.436213433,4.40244694023,6.83682635946,0.0,9.17985065927,26.9147,57.6026863201,0.0,50.0982,7.5044863201
 05/18  17:00:00,50.9035483927,4.40244694023,8.33274728971,0.0,9.17985065927,26.9147,59.9284415219,0.0,50.0982,9.83024152192
 05/18  18:00:00,52.3155069178,4.40244694023,9.78275040678,0.0,9.17985065927,26.9147,63.435976939,0.0,50.0982,13.337776939
 05/18  19:00:00,43.0997489321,4.40244694023,7.88237586905,0.0,9.17985065927,19.4245,47.3308505158,0.0,33.3988,13.9320505158
 05/18  20:00:00,43.1658605768,4.40244694023,5.87121916507,0.0,9.17985065927,19.4245,45.5637340917,0.0,33.3988,12.1649340917
 05/18  21:00:00,40.9925241673,4.40244694023,1.70481128472,0.0,9.17985065927,19.4245,38.3868879472,0.0,25.0491,13.3377879472
 05/18  22:00:00,39.3191745118,4.40244694023,0.174891559009,0.0,9.17985065927,19.4245,27.7060731879,0.00970316191702,16.6994,10.996970026
 05/18  23:00:00,39.8844595289,4.40244694023,0.0,0.0,9.17985065927,19.4245,14.8263679246,0.131016422239,8.3497,6.34565150233
 05/18  24:00:00,23.1517214024,4.40244694023,0.00676839826126,0.0,4.58992532963,8.1892,15.4242669033,6.89330899567,3.33988,5.19107790764
 05/19  01:00:00,14.9041691511,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 05/19  02:00:00,14.9129427864,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 05/19  03:00:00,14.9183521035,0.0,0.0,0.0,1.52997510988,7.4902,3.93196604036,0.0,3.33988,0.592086040362
 05/19  04:00:00,15.6054860569,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 05/19  05:00:00,23.7321488298,4.40244694023,0.0,0.0,4.58992532963,8.1892,35.1928343768,26.251042457,8.3497,0.592091919823
 05/19  06:00:00,37.2933817388,4.40244694023,0.0266767074703,0.0,9.17985065927,19.4245,42.7285740302,22.5657642532,16.6994,3.46340977695
 05/19  07:00:00,42.4508516402,4.40244694023,0.0311213880297,0.0,9.17985065927,26.9147,44.1962338412,4.63697711003,25.0491,14.5101567312
 05/19  08:00:00,42.4844717661,4.40244694023,0.00938401868257,0.0,9.17985065927,26.9147,46.7354901596,0.0,33.3988,13.3366901596
 05/19  09:00:00,35.0006675874,4.40244694023,0.0,0.0,9.17985065927,19.4245,36.0677268374,0.0222946178137,25.0491,10.9963322196
 05/19  10:00:00,43.9265837399,4.40244694023,1.37730975408,0.0,9.17985065927,26.9147,51.5778176777,0.0,41.7485,9.82931767765
 05/19  11:00:00,49.4732148119,4.40244694023,6.15866549731,0.0,9.17985065927,26.9147,52.744872942,0.0,41.7485,10.996372942
 05/19  12:00:00,52.2624126389,4.40244694023,9.57866401676,0.0,9.17985065927,26.9147,51.0005661171,0.0,41.7485,9.25206611706
 05/19  13:00:00,44.6413315646,4.40244694023,9.48588071164,0.0,9.17985065927,19.4245,42.0651221424,0.0,33.3988,8.66632214242
 05/19  14:00:00,43.6226513941,4.40244694023,8.45584759773,0.0,9.17985065927,19.4245,32.5546192756,0.0,25.0491,7.50551927558
 05/19  15:00:00,43.4383710911,4.40244694023,8.26659563979,0.0,9.17985065927,19.4245,40.9043877183,0.0,33.3988,7.50558771834
 05/19  16:00:00,52.9186788873,4.40244694023,10.2903476909,0.0,9.17985065927,26.9147,57.0263251452,0.0,50.0982,6.92812514523
 05/19  17:00:00,55.1320709622,4.40244694023,12.530024475,0.0,9.17985065927,26.9147,59.9279024244,0.0,50.0982,9.82970242437
 05/19  18:00:00,56.1485060339,4.40244694023,13.5487970324,0.0,9.17985065927,26.9147,63.4353558666,0.0,50.0982,13.3371558666
